date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:33	56470/56470	---M--	200	added ('OK')	image/png	etag:%22dc96-5eab1d70-ba24505d5130dcb5;;;%22	https://kriyansha.com/assets/img/Banner/hero_banner/hero-img4.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/Banner/hero_banner/hero-img4.png	(from https://kriyansha.com/)
23:00:34	37343/37343	---M--	200	added ('OK')	image/png	etag:%2291df-5eb5be8a-e311d7efc16ac9b0;;;%22	https://kriyansha.com/assets/img/clients/client-1.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/clients/client-1.png	(from https://kriyansha.com/)
23:00:34	17370/17370	---M--	200	added ('OK')	image/png	etag:%2243da-5eb5be9a-c23bc621ffeea8d6;;;%22	https://kriyansha.com/assets/img/clients/client-2.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/clients/client-2.png	(from https://kriyansha.com/)
23:00:34	13717/13717	---M--	200	added ('OK')	image/png	etag:%223595-5eb5bea8-8ee2dc5f20a97b71;;;%22	https://kriyansha.com/assets/img/clients/client-3.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/clients/client-3.png	(from https://kriyansha.com/)
23:00:34	15505/15505	---M--	200	added ('OK')	image/png	etag:%223c91-5eb5beb6-9ff1d7bf3741f685;;;%22	https://kriyansha.com/assets/img/clients/client-4.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/clients/client-4.png	(from https://kriyansha.com/)
23:00:35	21468/21468	---M--	200	added ('OK')	image/png	etag:%2253dc-5eb5becc-f8cb831b693e758d;;;%22	https://kriyansha.com/assets/img/clients/client-5.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/clients/client-5.png	(from https://kriyansha.com/)
23:00:35	80339/80339	---M--	200	added ('OK')	image/png	etag:%22139d3-5ea6e476-de5fa8ba6bc032f9;;;%22	https://kriyansha.com/assets/img/technologies/html5.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/technologies/html5.png	(from https://kriyansha.com/)
23:00:35	40901/40901	---M--	200	added ('OK')	image/png	etag:%229fc5-5ea6e0b0-3a36530a2b2761c1;;;%22	https://kriyansha.com/assets/img/technologies/css3.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/technologies/css3.png	(from https://kriyansha.com/)
23:00:35	52160/52160	---M--	200	added ('OK')	image/png	etag:%22cbc0-5ea6e0f2-6bc319098f6ea047;;;%22	https://kriyansha.com/assets/img/technologies/bootstrap.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/technologies/bootstrap.png	(from https://kriyansha.com/)
23:00:35	97615/97615	---M--	200	added ('OK')	image/png	etag:%2217d4f-5ea6e130-8512b02706cb29d2;;;%22	https://kriyansha.com/assets/img/technologies/jquery.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/technologies/jquery.png	(from https://kriyansha.com/)
23:00:36	44307/44307	---M--	200	added ('OK')	image/png	etag:%22ad13-5ea6e112-4fb50b90403f7ca3;;;%22	https://kriyansha.com/assets/img/technologies/angular.png	D:/Websites/Kriyansha/kriyansha.com/assets/img/technologies/angular.png	(from https://kriyansha.com/)
